Ch1(mA), Ch2(mA), Ch3(mA), Ch4(mA), Ch5(mA), Ch6(mA), Ch7(mA), Ch8(mA), Ch9(mA), Ch10(mA), Ch11(mA), Ch12(mA), Ch13(mA), Ch14(mA), Ch15(mA), Ch16(mA), Channel state, On time, Off time, Pulse number, Pattern, Time, Probeflag
0.09286, 0.1857, 0.1466, 0.1515, 0, 0.303, 0.1173, 0.1564, 0.2493, 0.6256, 0.06843, 0.567, 0.1955, 0.1906, 0.4497, 0.08309, 1111111111111111, 50, 70, 84, 1/785, 10.042505264282227, False
0.09286, 0.1857, 0.1466, 0.1515, 0, 0.303, 0.1173, 0.1613, 0.2542, 0.6305, 0.07331, 0.5718, 0.2004, 0.1955, 0.4545, 0.08309, 1111111111111111, 50, 70, 85, 1/785, 10.162335395812988, False
0.09775, 0.1857, 0.1515, 0.1564, 0, 0.3079, 0.1222, 0.1662, 0.2542, 0.6354, 0.06843, 0.5767, 0.2004, 0.2004, 0.4594, 0.08798, 1111111111111111, 50, 70, 86, 1/785, 10.28293228149414, False
0.09775, 0.1857, 0.1466, 0.1564, 0, 0.3128, 0.1222, 0.1662, 0.259, 0.6354, 0.07331, 0.5816, 0.2004, 0.1955, 0.4594, 0.08798, 1111111111111111, 50, 70, 87, 1/785, 10.402904510498047, False
0.1026, 0.1906, 0.1564, 0.1564, 0, 0.3177, 0.1222, 0.1711, 0.259, 0.6452, 0.07331, 0.5865, 0.2053, 0.2053, 0.4643, 0.08798, 1111111111111111, 50, 70, 88, 1/785, 10.522538661956787, False
0.09775, 0.1955, 0.1564, 0.1613, 0, 0.3226, 0.1271, 0.1711, 0.2639, 0.6452, 0.07331, 0.5914, 0.2102, 0.2004, 0.4741, 0.08798, 1111111111111111, 50, 70, 89, 1/785, 10.643698453903198, False
0.09775, 0.1955, 0.1564, 0.1613, 0, 0.3226, 0.1271, 0.1711, 0.2688, 0.6452, 0.07331, 0.5963, 0.2102, 0.2053, 0.479, 0.08798, 1111111111111111, 50, 70, 90, 1/785, 10.764364242553711, False
0.1026, 0.1955, 0.1564, 0.1662, 0, 0.3275, 0.1271, 0.176, 0.2688, 0.65, 0.07331, 0.6012, 0.2151, 0.2053, 0.479, 0.09286, 1111111111111111, 50, 70, 91, 1/785, 10.88209581375122, False
0.1026, 0.2004, 0.1613, 0.1662, 0, 0.3275, 0.132, 0.1808, 0.2737, 0.6549, 0.0782, 0.6012, 0.2151, 0.2102, 0.4888, 0.09286, 1111111111111111, 50, 70, 92, 1/785, 11.004683017730713, False
0.1026, 0.2004, 0.1613, 0.1662, 0, 0.3324, 0.132, 0.176, 0.2786, 0.6598, 0.0782, 0.6109, 0.2199, 0.2151, 0.4888, 0.09286, 1111111111111111, 50, 70, 93, 1/785, 11.124972581863403, False
0.1026, 0.2053, 0.1662, 0.1711, 0, 0.3372, 0.1369, 0.1808, 0.2786, 0.6647, 0.0782, 0.6158, 0.2199, 0.2199, 0.4936, 0.09775, 1111111111111111, 50, 70, 94, 1/785, 11.244781255722046, False
0.1075, 0.2053, 0.1662, 0.1711, 0, 0.3372, 0.1369, 0.1857, 0.2786, 0.6696, 0.0782, 0.6207, 0.2248, 0.2199, 0.4985, 0.09775, 1111111111111111, 50, 70, 95, 1/785, 11.365639925003052, False
0.1026, 0.2102, 0.1711, 0.176, 0, 0.3421, 0.1369, 0.1906, 0.2835, 0.6745, 0.08309, 0.6256, 0.2297, 0.2248, 0.4985, 0.09775, 1111111111111111, 50, 70, 96, 1/785, 11.485134363174438, False
0.1075, 0.2102, 0.1711, 0.1711, 0, 0.347, 0.1417, 0.1906, 0.2884, 0.6745, 0.0782, 0.6256, 0.2248, 0.2248, 0.5034, 0.09775, 1111111111111111, 50, 70, 97, 1/785, 11.605796337127686, False
0.1075, 0.2151, 0.1711, 0.176, 0, 0.3519, 0.1417, 0.1906, 0.2884, 0.6794, 0.08309, 0.6305, 0.2297, 0.2248, 0.5132, 0.1026, 1111111111111111, 50, 70, 98, 1/785, 11.726189136505127, False
0.1075, 0.2151, 0.176, 0.1808, 0, 0.3519, 0.1417, 0.1906, 0.2933, 0.6843, 0.08309, 0.6354, 0.2346, 0.2248, 0.5132, 0.09775, 1111111111111111, 50, 70, 99, 1/785, 11.84566617012024, False
0.1075, 0.2199, 0.176, 0.1808, 0, 0.3568, 0.1466, 0.1955, 0.2981, 0.6891, 0.08309, 0.6403, 0.2395, 0.2297, 0.5181, 0.1026, 1111111111111111, 50, 70, 100, 1/785, 11.966653108596802, False
0.1124, 0.2248, 0.176, 0.1857, 0, 0.3568, 0.1466, 0.1955, 0.2981, 0.6891, 0.08798, 0.6452, 0.2395, 0.2346, 0.523, 0.1026, 1111111111111111, 50, 70, 101, 1/785, 12.087114095687866, False
0.1124, 0.2199, 0.176, 0.1808, 0, 0.3568, 0.1466, 0.2004, 0.303, 0.694, 0.08309, 0.65, 0.2395, 0.2346, 0.523, 0.1075, 1111111111111111, 50, 70, 102, 1/785, 12.205729246139526, False
0.1124, 0.2248, 0.1808, 0.1906, 0, 0.3666, 0.1515, 0.2004, 0.303, 0.6989, 0.08798, 0.6549, 0.2444, 0.2346, 0.5279, 0.1075, 1111111111111111, 50, 70, 103, 1/785, 12.327692747116089, False
0.1124, 0.2248, 0.1808, 0.1857, 0, 0.3715, 0.1515, 0.2053, 0.3079, 0.6989, 0.08798, 0.6549, 0.2493, 0.2395, 0.5327, 0.1075, 1111111111111111, 50, 70, 104, 1/785, 12.447394847869873, False
0.1173, 0.2248, 0.1857, 0.1906, 0, 0.3715, 0.1515, 0.2053, 0.3079, 0.7087, 0.08798, 0.6647, 0.2493, 0.2444, 0.5376, 0.1075, 1111111111111111, 50, 70, 105, 1/785, 12.567491292953491, False
